
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","--","15.2","18.8","16.3","18.1","21.1","23.9","22.9","--","--","20.6","17.0"
"02","--","16.4","17.5","16.8","17.7","20.9","23.3","22.0","23.6","--","20.0","15.1"
"03","16.3","17.1","15.2","17.8","17.1","21.2","23.0","22.3","23.1","--","19.9","13.3"
"04","17.5","17.4","16.7","19.0","17.1","19.3","22.1","23.8","21.1","22.7","20.3","14.6"
"05","18.7","16.4","15.6","20.2","--","22.3","20.9","23.8","20.9","21.3","20.4","--"
"06","19.0","--","16.8","19.3","17.3","--","--","--","--","21.7","18.0","13.3"
"07","18.0","16.3","14.1","19.1","17.7","21.6","22.4","23.3","--","21.1","17.5","13.1"
"08","17.9","16.5","13.4","19.6","18.6","22.0","21.8","23.6","22.7","21.2","17.3","--"
"09","18.2","16.8","15.0","--","19.6","21.7","20.5","21.6","21.8","21.2","16.2","12.0"
"10","18.3","16.4","14.0","21.4","20.5","21.0","21.5","23.3","22.5","21.4","15.8","12.4"
"11","17.6","18.7","13.6","20.2","--","19.6","22.1","22.0","23.4","21.0","15.6","--"
"12","17.0","18.0","16.0","20.4","21.9","19.4","22.4","21.1","22.5","21.4","--","12.7"
"13","17.4","17.7","14.4","18.2","21.7","--","23.0","22.0","21.9","21.5","15.9","12.5"
"14","17.2","18.5","14.6","19.6","22.4","--","23.6","22.5","23.4","20.8","17.1","12.6"
"15","17.5","17.3","14.9","18.7","20.8","--","--","20.7","22.8","20.4","17.5","13.8"
"16","15.9","17.5","14.8","17.1","20.0","--","24.3","20.7","22.4","20.9","15.8","14.8"
"17","14.6","17.7","--","19.5","--","22.3","25.8","20.3","22.5","20.6","16.8","15.6"
"18","13.3","17.4","16.0","19.6","23.1","22.1","22.0","--","22.0","20.7","19.2","15.9"
"19","14.4","18.0","18.4","16.8","40.2","23.1","22.0","21.3","--","20.2","19.0","15.0"
"20","15.2","18.8","18.6","17.6","--","22.9","22.3","21.0","21.7","19.8","18.8","13.4"
"21","13.1","18.0","19.5","17.9","19.4","23.4","21.6","21.2","19.6","19.8","18.0","15.1"
"22","12.8","18.3","19.1","--","19.5","22.4","21.9","--","19.9","19.2","19.5","16.3"
"23","12.5","17.0","17.1","22.0","18.4","20.9","22.5","24.4","20.9","19.5","18.4","15.2"
"24","13.5","14.7","15.4","21.9","20.4","19.6","23.4","21.6","21.0","19.9","19.2","15.3"
"25","12.6","17.3","14.7","20.7","20.3","20.8","24.2","21.7","21.7","19.9","19.6","16.2"
"26","13.1","16.8","16.5","19.9","--","--","--","22.8","21.0","19.5","19.4","16.7"
"27","13.4","17.4","17.7","20.1","20.6","22.9","22.3","22.6","21.2","20.5","19.1","16.5"
"28","12.2","18.2","19.1","20.6","--","24.8","22.5","24.3","21.3","--","18.2","15.7"
"29","13.2","--","18.8","--","--","24.3","23.8","22.3","22.2","19.7","16.3","15.0"
"30","14.5","--","19.1","20.3","21.3","24.0","23.4","21.5","--","20.7","15.4","15.2"
"31","14.7","--","19.6","--","21.6","--","23.6","23.3","--","20.6","--","16.3"
"平均","15.5","17.3","16.5","19.3","20.6","21.8","22.7","22.3","21.9","20.6","18.1","14.7"
