
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","1.0","0.0","0.0","45.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","6.5"
"02","21.5","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","0.0"
"03","0.0","0.0","0.0","0.0","0.0","0.0","12.0","98.5","76.5","0.0","0.0","1.0"
"04","0.0","0.0","0.0","0.0","0.0","0.5","49.0","363.5","54.0","0.0","0.0","7.5"
"05","0.0","0.0","0.0","10.0","0.0","40.0","4.0","0.5","1.5","1.0","0.0","0.5"
"06","0.0","33.5","0.0","0.0","0.0","10.5","0.0","1.0","34.0","1.0","0.0","8.0"
"07","0.0","0.5","0.0","28.0","120.0","29.5","0.0","0.0","39.0","0.0","0.0","0.0"
"08","0.0","0.0","0.0","0.0","45.5","8.0","0.0","18.0","30.5","72.0","0.0","0.0"
"09","0.5","0.0","0.0","0.0","0.0","0.5","0.0","0.5","29.5","0.0","0.0","0.0"
"10","6.0","0.0","0.0","0.0","0.0","12.0","0.0","2.5","8.0","0.0","0.0","0.0"
"11","0.0","0.0","0.0","0.0","0.0","6.0","3.0","41.0","0.0","1.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","1.5","33.5","0.0","0.5","0.0","0.5","0.0","0.0"
"13","0.0","0.0","0.0","0.0","0.0","16.5","0.0","9.5","0.0","0.0","0.0","0.0"
"14","0.0","7.0","0.0","0.0","15.0","11.0","0.0","15.5","0.0","4.0","0.0","0.0"
"15","0.0","0.5","0.0","0.0","0.5","4.0","0.0","2.5","24.5","4.5","0.0","0.0"
"16","0.0","0.0","0.0","0.0","1.5","3.0","0.0","46.5","0.0","0.5","0.5","0.0"
"17","0.0","0.0","0.0","0.0","0.0","0.5","11.5","8.5","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","87.5","0.0","15.0","17.5","0.5","0.0","0.0","0.0"
"19","0.0","0.0","0.0","50.0","93.5","0.0","21.5","8.5","0.5","0.0","0.0","1.5"
"20","0.0","0.0","0.0","72.5","21.0","0.0","19.0","2.0","0.0","0.0","0.0","27.0"
"21","0.0","0.0","0.0","1.5","33.5","0.0","0.0","10.5","0.0","0.0","0.0","1.5"
"22","0.0","0.0","0.0","4.5","47.5","0.0","0.5","8.0","0.0","0.0","0.0","0.0"
"23","0.0","0.0","0.0","0.0","56.5","0.0","0.5","2.0","0.0","0.0","0.0","0.5"
"24","0.0","0.0","0.0","0.0","6.0","0.0","0.0","7.0","0.0","0.0","0.0","--"
"25","0.0","0.0","14.0","8.0","0.5","0.0","0.5","0.0","0.0","0.0","0.0","0.0"
"26","0.0","0.0","61.0","3.0","4.5","0.0","30.5","2.0","0.0","0.0","0.0","0.0"
"27","0.0","0.0","6.0","0.0","0.0","0.0","17.0","3.0","0.0","0.0","0.0","0.0"
"28","0.0","0.0","3.0","0.0","0.0","0.5","0.5","2.5","0.0","16.5","0.0","55.5"
"29","0.0","--","0.0","0.0","0.0","7.5","1.0","0.5","0.0","0.5","3.5","0.0"
"30","0.0","--","0.0","0.0","0.0","4.5","0.0","0.0","0.0","0.0","2.0","0.0"
"31","0.0","--","1.0","--","0.5","--","4.5","0.5","--","0.0","--","0.0"
"總和","29.0","41.5","85.0","222.5","535.0","188.0","190.5","674.5","298.5","101.5","6.0","109.5"
